store location, store zip, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
New Kensington,18833,Memory Loss Premium ,Hybrid,GRASSROOTS,Flower,$74.98,7.0g,18.98%,1328.60mg,0.056/mg
Butler,16001,Banana OG ,Indica,INSA,Flower,$79.94,7.0g,22.64%,1584.80mg,0.050/mg
Phoenixville,19460,Lemon El Nino Haze ,Hybrid,CULTIVAR COLLECTION,Flower,$59.99,3.5g,25.95%,908.25mg,0.066/mg
Phoenixville,19460,OKC  ,Hybrid,KIND TREE,Small,$64.96,7.0g,12.28%,859.60mg,0.076/mg
Butler,16001,Tina  ,Indica,SUPPLY,Small,$80.01,7.0g,23.38%,1636.60mg,0.049/mg
Ambler,19002,Critical Purple Kush  ,Indica,SUPPLY,Small,$80.01,7.0g,20.09%,1406.30mg,0.057/mg
Pittsburgh,15112,Gluelato Float ,Hybrid,FLOAT,Flower,$50.02,3.5g,24.12%,844.20mg,0.059/mg
Phoenixville,19460,Purple Punch ,Indica,RYTHM,Flower,$54.98,3.5g,21.96%,768.60mg,0.072/mg
Phoenixville,19460,Chemex ,Sativa,CRESCO,Flower,$45.01,3.5g,29.16%,1020.60mg,0.044/mg
Ambler,19002,Lime Sorbet ,Indica,CRESCO,Flower,$45.01,3.5g,26.81%,938.35mg,0.048/mg
Lancaster,17601,Golden Goose ,Indica,CRESCO,Flower,$45.01,3.5g,21.12%,739.20mg,0.061/mg
New Kensington,18833,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,27.46%,961.10mg,0.047/mg
Philadelphia - Chestnut St,17301,Gelato #41 x Dosido ,Hybrid,GRASSROOTS,Flower,$15.00,1.0g,21.50%,215.00mg,0.070/mg
Ambler,19002,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,26.49%,927.15mg,0.049/mg
New Kensington,18833,OG 18  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.41%,868.70mg,0.046/mg
Philadelphia - Chestnut St,17301,Citrus Daydream  ,Sativa,SUPPLY,Small,$80.01,7.0g,25.49%,1784.30mg,0.045/mg
