store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
KC,"<a href=""http://www.dutchie.com/dispensary/keystone-canna-remedies-stroudsburg/product/gti-jet-fuel-s-ground-flower"">Jet Fuel  Ground </a><br><a href=""https://www.leafly.com/search?q=Jet Fuel  Ground "">Leafly</a>",<class 'filter'>,Rythm,Ground Flower,$50.00,7.0g,25.80%,1806.00mg,0.028/mg
KC,"<a href=""http://www.dutchie.com/dispensary/keystone-canna-remedies-stroudsburg/product/kt-pelirroja-s--86245"">Pelirroja </a><br><a href=""https://www.leafly.com/search?q=Pelirroja "">Leafly</a>",<class 'filter'>,Kind Tree ,Flower,$80.00,7.0g,16.83%,1178.10mg,0.068/mg
KC,"<a href=""http://www.dutchie.com/dispensary/keystone-canna-remedies-stroudsburg/product/or-stracciatella-s--77811"">OStracciatella </a><br><a href=""https://www.leafly.com/search?q=OStracciatella "">Leafly</a>",<class 'filter'>,Organic Remedies ,Flower,$45.00,3.5g,29.98%,1049.30mg,0.043/mg
KC,"<a href=""http://www.dutchie.com/dispensary/keystone-canna-remedies-stroudsburg/product/or-stardawg-s-"">OStardawg </a><br><a href=""https://www.leafly.com/search?q=OStardawg "">Leafly</a>",<class 'filter'>,Organic Remedies ,Flower,$80.00,7.0g,27.69%,1938.30mg,0.041/mg
KC,"<a href=""http://www.dutchie.com/dispensary/keystone-canna-remedies-stroudsburg/product/cy-chemex-s-"">CY - Chemex </a><br><a href=""https://www.leafly.com/search?q=CY - Chemex "">Leafly</a>",<class 'filter'>,Cresco ,Flower,$55.00,3.5g,29.19%,1021.65mg,0.054/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/1068627/float-grape-essence?recommended=false&fromMenu=true"">Grape Essence</a><br><a href=""https://www.leafly.com/search?q=Grape Essence"">Leafly</a>",<class 'filter'>,Float,Flower,$50.00,3.5g,28.58%,1000.30mg,0.050/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/937647/matter-lvc-thin-mint-gsc-x-grape-pie-smalls?recommended=false&fromMenu=true"">LVC (Thin Mint GSC x Grape Pie) Smalls</a><br><a href=""https://www.leafly.com/search?q=LVC (Thin Mint GSC x Grape Pie) Smalls"">Leafly</a>",<class 'filter'>,matter.,Smalls,$60.00,7.0g,20.31%,1421.70mg,0.042/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/908935/matter-lvc?recommended=false&fromMenu=true"">LVC</a><br><a href=""https://www.leafly.com/search?q=LVC"">Leafly</a>",<class 'filter'>,matter.,Flower,$30.00,3.5g,20.14%,704.90mg,0.043/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/951832/terrapin-jwc?recommended=false&fromMenu=true"">JWC </a><br><a href=""https://www.leafly.com/search?q=JWC "">Leafly</a>",<class 'filter'>,Terrapin,Top Shelf,$43.00,3.5g,23.40%,819.00mg,0.053/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/429789/tyson-2-0-knockout-og?recommended=false&fromMenu=true"">Knockout OG</a><br><a href=""https://www.leafly.com/search?q=Knockout OG"">Leafly</a>",<class 'filter'>,TYSON 2.0,Flower,$58.00,3.5g,26.10%,913.50mg,0.063/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/1066710/trulieve-unknown-legend?recommended=false&fromMenu=true"">Unknown Legend</a><br><a href=""https://www.leafly.com/search?q=Unknown Legend"">Leafly</a>",<class 'filter'>,Trulieve,Flower,$45.00,3.5g,22.62%,791.70mg,0.057/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/1051253/organic-remedies-strawberry-banner?recommended=false&fromMenu=true"">Strawberry Banner</a><br><a href=""https://www.leafly.com/search?q=Strawberry Banner"">Leafly</a>",<class 'filter'>,Organic Remedies,Flower,$80.00,7.0g,33.26%,2328.20mg,0.034/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/913461/terrapin-cnb?recommended=false&fromMenu=true"">CNB</a><br><a href=""https://www.leafly.com/search?q=CNB"">Leafly</a>",<class 'filter'>,Terrapin,Top Shelf,$37.00,3.5g,26.53%,928.55mg,0.040/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/788950/matter-wedding-crasher-wedding-cake-x-purple-punch?recommended=false&fromMenu=true"">Wedding Crasher (Wedding Cake x Purple Punch)</a><br><a href=""https://www.leafly.com/search?q=Wedding Crasher (Wedding Cake x Purple Punch)"">Leafly</a>",<class 'filter'>,matter.,Smalls,$60.00,7.0g,17.90%,1253.00mg,0.048/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/221748/farmaceutical-rx-chem-4?recommended=false&fromMenu=true"">Chem 4</a><br><a href=""https://www.leafly.com/search?q=Chem 4"">Leafly</a>",<class 'filter'>,FarmaceuticalRx,Flower,$55.00,3.5g,28.33%,991.55mg,0.055/mg
