zip,Zipcode name,City,State,County Name
16820,"AARONSBURG, PA",AARONSBURG,PA,CENTRE
17301,"ABBOTTSTOWN, PA",ABBOTTSTOWN,PA,ADAMS
19001,"ABINGTON, PA",ABINGTON,PA,MONTGOMERY
18010,"ACKERMANVILLE, PA",ACKERMANVILLE,PA,NORTHAMPTON
15610,"ACME, PA",ACME,PA,WESTMORELAND
15520,"ACOSTA, PA",ACOSTA,PA,SOMERSET
15410,"ADAH, PA",ADAH,PA,FAYETTE
15611,"ADAMSBURG, PA",ADAMSBURG,PA,WESTMORELAND
19501,"ADAMSTOWN, PA",ADAMSTOWN,PA,LANCASTER
16110,"ADAMSVILLE, PA",ADAMSVILLE,PA,CRAWFORD
15411,"ADDISON, PA",ADDISON,PA,SOMERSET
16210,"ADRIAN, PA",ADRIAN,PA,ARMSTRONG
17302,"AIRVILLE, PA",AIRVILLE,PA,YORK
17501,"AKRON, PA",AKRON,PA,LANCASTER
16401,"ALBION, PA",ALBION,PA,ERIE
18210,"ALBRIGHTSVILLE, PA",ALBRIGHTSVILLE,PA,CARBON
18011,"ALBURTIS, PA",ALBURTIS,PA,LEHIGH
15310,"ALEPPO, PA",ALEPPO,PA,GREENE
16611,"ALEXANDRIA, PA",ALEXANDRIA,PA,HUNTINGDON
15001,"ALIQUIPPA, PA",ALIQUIPPA,PA,BEAVER
15412,"ALLENPORT, PA",ALLENPORT,PA,WASHINGTON
17002,"ALLENSVILLE, PA",ALLENSVILLE,PA,MIFFLIN
18101,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18102,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18103,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18104,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18105,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18106,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18109,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
18195,"ALLENTOWN, PA",ALLENTOWN,PA,LEHIGH
17810,"ALLENWOOD, PA",ALLENWOOD,PA,UNION
15413,"ALLISON, PA",ALLISON,PA,FAYETTE
15101,"ALLISON PARK, PA",ALLISON PARK,PA,ALLEGHENY
16821,"ALLPORT, PA",ALLPORT,PA,CLEARFIELD
16601,"ALTOONA, PA",ALTOONA,PA,BLAIR
16602,"ALTOONA, PA",ALTOONA,PA,BLAIR
16603,"ALTOONA, PA",ALTOONA,PA,BLAIR
15521,"ALUM BANK, PA",ALUM BANK,PA,BEDFORD
15710,"ALVERDA, PA",ALVERDA,PA,INDIANA
15612,"ALVERTON, PA",ALVERTON,PA,WESTMORELAND
17210,"AMBERSON, PA",AMBERSON,PA,FRANKLIN
19002,"AMBLER, PA",AMBLER,PA,MONTGOMERY
15003,"AMBRIDGE, PA",AMBRIDGE,PA,BEAVER
15311,"AMITY, PA",AMITY,PA,WASHINGTON
18320,"ANALOMINK, PA",ANALOMINK,PA,MONROE
18211,"ANDREAS, PA",ANDREAS,PA,SCHUYLKILL
15711,"ANITA, PA",ANITA,PA,JEFFERSON
17003,"ANNVILLE, PA",ANNVILLE,PA,LEBANON
17720,"ANTES FORT, PA",ANTES FORT,PA,LYCOMING
15613,"APOLLO, PA",APOLLO,PA,WESTMORELAND
15712,"ARCADIA, PA",ARCADIA,PA,INDIANA
18403,"ARCHBALD, PA",ARCHBALD,PA,LACKAWANNA
15615,"ARDARA, PA",ARDARA,PA,WESTMORELAND
19003,"ARDMORE, PA",ARDMORE,PA,MONTGOMERY
17303,"ARENDTSVILLE, PA",ARENDTSVILLE,PA,ADAMS
17920,"ARISTES, PA",ARISTES,PA,COLUMBIA
15920,"ARMAGH, PA",ARMAGH,PA,INDIANA
15616,"ARMBRUST, PA",ARMBRUST,PA,WESTMORELAND
16911,"ARNOT, PA",ARNOT,PA,TIOGA
15617,"ARONA, PA",ARONA,PA,WESTMORELAND
17211,"ARTEMAS, PA",ARTEMAS,PA,BEDFORD
18212,"ASHFIELD, PA",ASHFIELD,PA,CARBON
17921,"ASHLAND, PA",ASHLAND,PA,SCHUYLKILL
16613,"ASHVILLE, PA",ASHVILLE,PA,CAMBRIA
17304,"ASPERS, PA",ASPERS,PA,ADAMS
